professional_sector,profession,one_liner,degree_dependency,class12_prerequisite,years_to_qualify,cost_of_entry_lakh,early_earnings_lpa,mid_career_lpa,ai_exposure,india_demand,self_employment,licensing_body,ship
11. Sports & Fitness,Adventure Sports & Outdoor Instructor,"Takes people safely into mountains, rivers and the sea, and teaches them to move there.",certificate,any,3,1.5,1.8-4.2,3.6-10.0,low,moderate,common,,yes
11. Sports & Fitness,Esports Professional,Competes or works professionally in organised competitive video gaming.,none,any,2,1.0,0.6-3.6,2.4-12.0,medium,low,common,,yes
11. Sports & Fitness,Sports Scientist & Performance Analyst,"Measures what athletes do and turns it into training decisions - physiology, biomechanics, data.",undergrad,any,5,4.0,2.4-5.0,5-14,medium,low,possible_later,,yes
11. Sports & Fitness,Sports Facility & Turf Professional,"Prepares and maintains where sport is played - pitches, courts, pools, tracks and gyms.",none,any,2,0.3,1.2-3.0,2.4-6.0,low,moderate,possible_later,,NO
12. Education & Training,School Teacher,"Teaches a class of children a subject, and is answerable for whether they learn it.",undergrad,any,5,4.0,3.0-8.3,6.0-16.0,low,high,possible_later,,yes
12. Education & Training,Special Educator,"Teaches children with disabilities and learning differences, and adapts how they are taught.",undergrad,any,5,4.0,2.4-6.0,5.0-12.0,low,high,common,Rehabilitation Council of India (RCI),yes
12. Education & Training,College & University Teacher,Teaches a subject at degree level and usually researches it - the academic career.,undergrad,any,9,6.0,4.5-9.0,9.0-18.0,low,moderate,possible_later,,yes
12. Education & Training,Coaching & Test-Prep Teacher,"Teaches students to pass a specific examination - JEE, NEET, UPSC, banking, boards.",undergrad,any,3,2.0,2.4-6.0,5.0-18.0,medium,high,common,,yes
12. Education & Training,Early Childhood & Anganwadi Educator,"Looks after and teaches children under six - anganwadis, creches and preschools.",certificate,any,2,0.3,0.6-1.8,1.2-3.6,low,high,possible_later,,NO
12. Education & Training,Vocational & Skill Trainer,"Teaches a trade to people who will do it - ITI, apprenticeship and skilling programmes.",certificate,any,4,1.5,2.4-4.8,4.0-10.0,low,moderate,possible_later,,yes
12. Education & Training,Corporate Trainer & Learning Professional,"Builds and runs training for people already in jobs - skills, systems, compliance, leadership.",undergrad,any,6,3.0,3.6-7.0,7.0-16.0,medium,moderate,common,,yes
12. Education & Training,Curriculum & Instructional Designer,"Designs what gets taught and how - syllabi, textbooks, courses, assessments, e-learning.",undergrad,any,4,3.0,3.0-6.0,6.0-15.0,medium,moderate,common,,yes
12. Education & Training,Librarian & Information Professional,"Organises knowledge so people can find it - libraries, archives, digital collections.",undergrad,any,5,3.0,2.4-5.0,5.0-13.0,medium,low,possible_later,,yes
12. Education & Training,Career & Education Counsellor,"Helps students choose what to study and what to do next, and understands the routes.",undergrad,any,4,2.5,2.4-5.0,5.0-14.0,medium,moderate,common,,yes
13. Social Impact & Psychology,Clinical Psychologist,Assesses and treats mental illness - the only psychology role India licenses.,professional,any,9,5.0,3.0-6.0,6.0-15.0,low,high,common,Rehabilitation Council of India (RCI),yes
13. Social Impact & Psychology,Counsellor & Psychotherapist,Talks people through difficulty - the mental health work India does not regulate at all.,undergrad,any,5,3.0,2.4-5.0,4.5-12.0,medium,high,common,,yes
13. Social Impact & Psychology,Social Worker,"Works with people the system is failing - families, children, patients, the displaced.",undergrad,any,5,3.0,2.4-5.0,5.0-12.0,low,moderate,possible_later,,yes
13. Social Impact & Psychology,Development & Programme Professional,"Designs and runs programmes meant to change something - poverty, health, education, rights.",undergrad,any,4,4.0,3.0-6.0,6.0-16.0,medium,moderate,possible_later,,yes
13. Social Impact & Psychology,"Monitoring, Evaluation & Impact Analyst","Measures whether a social programme actually worked, and says so when it did not.",undergrad,any,4,4.0,3.0-6.5,6.0-16.0,medium,moderate,possible_later,,yes
13. Social Impact & Psychology,Community Development Worker,Organises people in a village or neighbourhood to claim services and run things themselves.,certificate,any,1,0.2,0.9-2.4,1.8-4.5,low,moderate,possible_later,,NO
13. Social Impact & Psychology,Rehabilitation & Disability Inclusion Professional,"Makes work, buildings and services usable by disabled people, and supports them into them.",undergrad,any,4,3.0,2.4-5.0,5.0-13.0,low,moderate,common,,yes
13. Social Impact & Psychology,Child Protection & Family Welfare Officer,"Protects children at risk - abuse, trafficking, child labour, adoption and institutional care.",undergrad,any,5,3.0,2.4-5.0,5.0-11.0,low,moderate,rare,,yes
14. Environment & Sustainability,Environmental Engineer,Builds and runs the systems that clean up what industry and cities produce.,undergrad,physics + maths,4,6.0,3.0-6.0,7.0-16.0,low,moderate,possible_later,,yes
14. Environment & Sustainability,Environmental Scientist,"Measures what is happening to air, water, soil and ecosystems, and what a project will do.",undergrad,any,5,4.0,2.4-5.0,5.0-13.0,low,moderate,possible_later,,yes
14. Environment & Sustainability,GIS & Remote Sensing Analyst,"Turns satellite imagery and maps into answers about land, water, forests and cities.",undergrad,any,4,4.0,3.0-6.0,6.0-16.0,medium,moderate,possible_later,,yes
14. Environment & Sustainability,"Forest, Wildlife & Conservation Professional","Protects forests and wildlife - as a government officer, a researcher, or with communities.",undergrad,any,5,3.0,3.0-8.0,7.0-18.0,low,low,rare,,yes
14. Environment & Sustainability,Sustainability & ESG Professional,"Measures and reports what a company does to the environment and society, to a legal standard.",undergrad,any,4,5.0,4.0-8.0,7.0-18.0,medium,high,possible_later,,yes
14. Environment & Sustainability,Renewable Energy Project Professional,"Gets solar and wind projects built and running - siting, resource, permits, performance.",undergrad,any,4,6.0,3.5-7.0,8.0-18.0,medium,high,possible_later,,yes
14. Environment & Sustainability,Waste Management & Sanitation Worker,"Collects, sorts and disposes of what cities throw away, and keeps the sewers running.",none,any,1,0.1,0.9-2.4,1.8-4.5,low,high,possible_later,,NO
14. Environment & Sustainability,Disaster Risk & Climate Resilience Professional,"Plans for floods, cyclones, heat and earthquakes before they happen, and coordinates after.",undergrad,any,5,4.0,3.0-6.0,6.0-15.0,medium,moderate,possible_later,,yes
15. Agriculture & Food Systems,Farmer,"Grows crops on land they own, rent or work - the occupation most Indians still live from.",none,any,1,0.5,0.6-1.8,0.9-2.7,low,high,common,,yes
15. Agriculture & Food Systems,Agricultural Scientist & Agronomist,"Works out how to grow more, better and with less - varieties, soil, pests, practice.",undergrad,physics + chemistry,6,4.0,3.0-6.0,6.0-15.0,low,moderate,possible_later,,yes
15. Agriculture & Food Systems,Agricultural Engineer,"Engineers the physical side of farming - machinery, irrigation, storage, processing.",undergrad,physics + maths,4,5.0,3.0-6.0,5.0-11.0,low,moderate,possible_later,,yes
15. Agriculture & Food Systems,Food Technologist,"Turns crops into food that keeps, is safe to eat, and tastes the same every time.",undergrad,physics + chemistry,4,5.0,3.0-6.0,5.0-13.0,low,high,possible_later,,yes
15. Agriculture & Food Systems,Dairy & Livestock Professional,"Keeps animals productive and healthy - milk, poultry, goats, and the systems around them.",certificate,any,2,1.0,1.2-3.0,2.4-6.0,low,high,common,,yes
15. Agriculture & Food Systems,Horticulture & Plantation Professional,"Grows fruit, vegetables, flowers, tea and spices - the high-value, high-risk end of farming.",certificate,any,3,2.0,1.8-4.2,3.0-9.0,low,moderate,common,,yes
15. Agriculture & Food Systems,Fisheries & Aquaculture Professional,"Catches or farms fish and shrimp - marine, inland and pond, and the cold chain behind it.",certificate,any,3,2.0,1.5-4.0,3.0-9.0,low,moderate,common,,yes
15. Agriculture & Food Systems,Agricultural Extension & Agri-Business Professional,"Connects farmers to knowledge, inputs, credit and buyers - the business side of farming.",undergrad,any,4,4.0,3.0-6.0,6.0-16.0,medium,high,common,,yes
"16. Hospitality, Travel & Culinary",Chef & Professional Cook,"Cooks for a living at scale - hotels, restaurants, canteens, cloud kitchens, ships.",certificate,any,3,2.0,1.8-4.2,3.6-12.0,low,high,common,,yes
"16. Hospitality, Travel & Culinary",Food & Beverage Service Professional,"Serves guests food and drink and runs the room - restaurants, bars, banquets, trains, air.",certificate,any,2,1.0,1.5-3.6,2.4-8.0,low,high,possible_later,,yes
"16. Hospitality, Travel & Culinary",Housekeeping & Accommodation Services Professional,"Keeps rooms, buildings and linen clean and ready - hotels, hospitals, offices, homestays.",none,any,1,0.2,1.2-2.7,1.8-4.5,low,high,possible_later,,NO
"16. Hospitality, Travel & Culinary",Hotel & Restaurant Manager,"Runs the place - rooms, covers, staff, cost, and what happens when a guest is unhappy.",undergrad,any,3,3.0,2.4-5.0,5.0-14.0,low,high,possible_later,,yes
"16. Hospitality, Travel & Culinary",Travel & Tourism Professional,"Plans, sells and guides travel - itineraries, tickets, tours and the people on them.",certificate,any,3,1.5,1.8-4.2,3.6-11.0,medium,moderate,common,,yes
"16. Hospitality, Travel & Culinary",Event Manager,"Makes an event happen - weddings, conferences, concerts, exhibitions, sport.",undergrad,any,3,3.0,2.4-5.0,5.0-14.0,low,high,common,,yes
"16. Hospitality, Travel & Culinary",Cabin Crew,Keeps an aircraft cabin safe and its passengers looked after - a safety job that serves food.,certificate,any,1,1.5,3.0-6.0,5.0-12.0,low,moderate,rare,,yes
"16. Hospitality, Travel & Culinary",Merchant Navy Deck Officer,Navigates and commands a cargo ship - the deck side of the merchant marine.,undergrad,physics + chemistry + maths,4,8.0,6.0-12.0,13.0-32.0,low,moderate,rare,Directorate General of Shipping,yes
"17. Humanities, Culture & Belief",Archaeologist,"Finds and reads the physical remains of the past - excavation, survey, dating, publication.",undergrad,any,7,3.0,2.4-5.0,5.0-13.0,low,low,possible_later,,yes
"17. Humanities, Culture & Belief",Anthropologist & Sociologist,"Studies how people actually live together - fieldwork, kinship, caste, custom, community.",undergrad,any,5,3.0,3.0-6.0,6.0-16.0,low,low,possible_later,,yes
"17. Humanities, Culture & Belief",Historian & Heritage Researcher,"Works out what happened and why it matters - archives, sources, argument, publication.",undergrad,any,7,3.0,2.4-5.0,5.0-14.0,low,low,possible_later,,yes
"17. Humanities, Culture & Belief","Museum, Archive & Records Professional","Looks after collections and makes them usable - cataloguing, storage, display, access.",undergrad,any,5,3.0,2.4-5.0,5.0-12.0,medium,low,possible_later,,yes
"17. Humanities, Culture & Belief",Art Conservator & Restorer,"Stops old things falling apart - paintings, manuscripts, sculpture, textiles, buildings.",undergrad,any,6,4.0,2.4-5.0,5.0-13.0,low,low,common,,yes
"17. Humanities, Culture & Belief",Religious & Ritual Professional,"Conducts worship, rites and religious teaching - temples, mosques, churches, gurdwaras.",none,any,6,0.3,0.9-3.0,1.8-6.0,low,moderate,common,,yes
"17. Humanities, Culture & Belief",Classical Language & Manuscript Scholar,"Reads what most people no longer can - Sanskrit, Persian, Pali, Prakrit, old scripts.",undergrad,any,7,2.0,2.4-5.0,5.0-13.0,low,low,possible_later,,yes
"17. Humanities, Culture & Belief",Heritage & Cultural Management Professional,"Runs heritage as a going concern - sites, festivals, cultural centres, funding, policy.",undergrad,any,5,4.0,2.4-5.5,5.0-14.0,medium,low,possible_later,,yes
18. Personal Care & Wellness,Yoga Instructor & Therapist,"Teaches yoga, and at the therapy levels works with illness alongside doctors.",certificate,any,2,1.0,1.8-4.2,3.6-10.0,low,high,common,,yes
18. Personal Care & Wellness,Beautician & Cosmetologist,"Does skin, nails, hair removal and grooming treatments - salons, homes, bridal work.",certificate,any,2,0.8,1.2-3.0,2.4-6.0,low,high,common,,yes
18. Personal Care & Wellness,Hair Stylist & Barber,"Cuts, colours and styles hair - salons, barbershops, homes, film and fashion.",none,any,2,0.5,1.2-3.0,2.4-7.0,low,high,common,,yes
18. Personal Care & Wellness,Makeup Artist,"Paints faces for cameras, weddings and stages - and makes them survive lights and hours.",certificate,any,2,1.5,1.5-4.0,3.0-10.0,low,moderate,common,,yes
18. Personal Care & Wellness,Spa & Massage Therapist,"Gives therapeutic and relaxation treatments - spas, hotels, wellness centres, homes.",certificate,any,2,1.0,1.5-3.6,2.7-7.0,low,moderate,common,,yes
18. Personal Care & Wellness,Tattoo & Body Art Professional,"Makes permanent marks on people - tattooing, piercing, and the hygiene that must go with it.",none,any,3,1.0,1.5-4.0,3.0-10.0,low,moderate,common,,yes
